0.00 0.00 1.00 0.00 0.00
0.10 0.83 1.02 0.00 0.05
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.04 0.05 4.81 0.01 0.08
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 2.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
7.57 0.85 5.07 2.68 0.83
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.03 0.00 0.97
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 2.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.10 0.89 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
10.87 34.56 47.78 13.10 50.69
10.29 789.25 79.00 32.80 11.67
3.49 243.82 22.89 11.20 4.61
0.00 1.00 0.00 0.00 0.00
0.00 5.84 5.15 0.00 0.00
1.45 3.18 2.50 0.73 0.13
9.92 521.10 40.47 22.74 10.77
9.46 3.45 13.82 0.61 5.67
0.49 9.86 4.01 0.76 14.89
13.31 58.81 2.36 15.22 32.30
0.00 2.00 0.00 0.00 0.00
32.47 47.29 67.57 3.14 33.53
15.71 25.98 2.70 15.80 4.81
1.90 100.90 1.83 11.26 3.11
1.90 100.90 1.83 11.26 3.11
3.16 172.90 14.34 11.17 4.43
0.22 3.59 3.22 15.00 3.96
162.25 471.23 102.12 3.05 57.34
8.99 589.96 50.02 20.68 10.35
0.45 0.00 0.54 0.00 0.00
2.44 0.51 2.55 0.05 2.43
18.56 4.03 3.96 1.90 1.54
0.53 0.91 2.31 0.02 0.23
0.45 0.00 0.54 0.00 0.00
0.76 1.00 0.54 0.66 0.03
0.45 0.00 0.54 0.00 0.00
1.45 0.00 0.54 0.00 0.00
0.45 0.00 0.54 0.00 0.00
20.73 14.05 16.03 2.87 9.32
0.57 0.03 1.37 0.07 0.96
12.25 0.13 14.53 0.01 0.07
0.91 0.00 1.09 0.00 0.00
0.45 0.00 0.54 0.00 0.00
132.56 3.89 294.22 0.60 11.74
30.37 0.24 9.11 0.01 2.27
18.16 23.53 2.64 8.16 62.51
231.72 156.94 60.88 63.98 55.48
0.45 0.00 0.54 0.00 0.00
44.95 4.10 9.79 0.19 17.97
0.91 0.00 1.09 0.00 0.00
